index,targetX,targetY,positionX,positionY,diameter,speed
1,4.9,0.75,0.75,2.24,0.3,1
2,3.9,0.75,0.75,2.24,0.3,1
3,1.9,0.75,0.75,2.24,0.3,1
4,4.9,1.25,0.75,2.24,0.3,1
5,2.9,3.75,0.75,2.24,0.3,1
6,1.9,2.75,0.75,2.24,0.3,1
7,2.9,0.75,0.75,2.24,0.3,1
8,3.9,1.75,0.75,2.24,0.3,1
9,3.9,3.75,0.75,2.24,0.3,1
10,5.9,0.75,0.75,2.24,0.3,1
11,1.9,1.25,0.75,2.24,0.3,1
12,5.9,2.75,0.75,2.24,0.3,1
13,5.9,1.25,0.75,2.24,0.3,1
14,2.9,1.25,0.75,2.24,0.3,1
15,1.9,1.75,0.75,2.24,0.3,1
16,1.9,3.75,0.75,2.24,0.3,1
17,5.9,1.75,0.75,2.24,0.3,1
18,2.9,1.75,0.75,2.24,0.3,1
