index,targetX,targetY,positionX,positionY,diameter,speed
1,5.9,0.75,0.75,2.24,0.3,1.0
2,5.9,1.25,0.75,2.24,0.3,1.0
3,5.9,1.75,0.75,2.24,0.3,1.0
4,5.9,3.75,0.75,2.24,0.3,1.0
5,5.9,3.25,0.75,2.24,0.3,1.0
6,5.9,2.75,0.75,2.24,0.3,1.0

7,4.9,0.75,0.75,2.24,0.3,1.0
8,4.9,1.25,0.75,2.24,0.3,1.0
9,4.9,1.75,0.75,2.24,0.3,1.0
10,4.9,3.75,0.75,2.24,0.3,1.0
11,4.9,3.25,0.75,2.24,0.3,1.0
12,4.9,2.75,0.75,2.24,0.3,1.0

13,3.9,0.75,0.75,2.24,0.3,1.0
14,3.9,1.25,0.75,2.24,0.3,1.0
15,3.9,1.75,0.75,2.24,0.3,1.0
16,3.9,3.75,0.75,2.24,0.3,1.0
17,3.9,3.25,0.75,2.24,0.3,1.0
18,3.9,2.75,0.75,2.24,0.3,1.0

19,2.9,0.75,0.75,2.24,0.3,1.0
20,2.9,1.25,0.75,2.24,0.3,1.0
21,2.9,1.75,0.75,2.24,0.3,1.0
22,2.9,3.75,0.75,2.24,0.3,1.0
23,2.9,3.25,0.75,2.24,0.3,1.0
24,2.9,2.75,0.75,2.24,0.3,1.0

25,1.9,0.75,0.75,2.24,0.3,1.0
26,1.9,1.25,0.75,2.24,0.3,1.0
27,1.9,1.75,0.75,2.24,0.3,1.0
28,1.9,3.75,0.75,2.24,0.3,1.0
29,1.9,3.25,0.75,2.24,0.3,1.0
30,1.9,2.75,0.75,2.24,0.3,1.0
