index,targetX,targetY,positionX,positionY,diameter,speed
1,1.9,2.75,0.75,2.24,0.3,1
2,3.9,2.75,0.75,2.24,0.3,1
3,2.9,1.75,0.75,2.24,0.3,1
4,1.9,1.75,0.75,2.24,0.3,1
5,4.9,1.75,0.75,2.24,0.3,1
6,3.9,0.75,0.75,2.24,0.3,1
7,2.9,3.75,0.75,2.24,0.3,1
8,3.9,3.25,0.75,2.24,0.3,1
9,4.9,1.25,0.75,2.24,0.3,1
10,1.9,3.75,0.75,2.24,0.3,1
11,4.9,2.75,0.75,2.24,0.3,1
12,4.9,3.25,0.75,2.24,0.3,1
13,3.9,1.75,0.75,2.24,0.3,1
14,3.9,3.75,0.75,2.24,0.3,1
15,2.9,1.25,0.75,2.24,0.3,1
16,2.9,0.75,0.75,2.24,0.3,1
17,1.9,1.25,0.75,2.24,0.3,1
18,1.9,3.25,0.75,2.24,0.3,1
19,2.9,2.75,0.75,2.24,0.3,1
20,1.9,0.75,0.75,2.24,0.3,1
21,4.9,0.75,0.75,2.24,0.3,1
22,2.9,3.25,0.75,2.24,0.3,1
23,4.9,3.75,0.75,2.24,0.3,1
24,3.9,1.25,0.75,2.24,0.3,1
25,8.9,0.75,0.75,2.24,0.3,1
26,5.9,3.25,0.75,2.24,0.3,1
27,7.9,1.75,0.75,2.24,0.3,1
28,7.9,3.75,0.75,2.24,0.3,1
29,8.9,3.75,0.75,2.24,0.3,1
30,6.9,1.25,0.75,2.24,0.3,1
31,6.9,3.25,0.75,2.24,0.3,1
32,8.9,3.25,0.75,2.24,0.3,1
33,7.9,3.25,0.75,2.24,0.3,1
34,5.9,3.75,0.75,2.24,0.3,1
35,8.9,1.75,0.75,2.24,0.3,1
36,5.9,1.75,0.75,2.24,0.3,1
37,7.9,1.25,0.75,2.24,0.3,1
38,7.9,0.75,0.75,2.24,0.3,1
39,6.9,3.75,0.75,2.24,0.3,1
40,6.9,1.75,0.75,2.24,0.3,1
41,6.9,0.75,0.75,2.24,0.3,1
42,5.9,1.25,0.75,2.24,0.3,1
43,5.9,2.75,0.75,2.24,0.3,1
44,8.9,1.25,0.75,2.24,0.3,1
45,5.9,0.75,0.75,2.24,0.3,1
46,6.9,2.75,0.75,2.24,0.3,1
47,7.9,2.75,0.75,2.24,0.3,1
48,8.9,2.75,0.75,2.24,0.3,1
49,11.9,1.75,0.75,2.24,0.3,1
50,10.9,3.75,0.75,2.24,0.3,1
51,11.9,1.25,0.75,2.24,0.3,1
52,11.9,3.75,0.75,2.24,0.3,1
53,10.9,0.75,0.75,2.24,0.3,1
54,9.9,1.75,0.75,2.24,0.3,1
55,9.9,3.25,0.75,2.24,0.3,1
56,10.9,2.75,0.75,2.24,0.3,1
57,10.9,1.25,0.75,2.24,0.3,1
58,10.9,3.25,0.75,2.24,0.3,1
59,9.9,2.75,0.75,2.24,0.3,1
60,10.9,1.75,0.75,2.24,0.3,1
61,11.9,0.75,0.75,2.24,0.3,1
62,9.9,0.75,0.75,2.24,0.3,1
63,11.9,3.25,0.75,2.24,0.3,1
64,9.9,1.25,0.75,2.24,0.3,1
65,9.9,3.75,0.75,2.24,0.3,1
66,11.9,2.75,0.75,2.24,0.3,1
